city_ID,city,lat,lng,Min Temp,Max Temp,Humidity,Cloudiness
0,Sydney,-33.865,151.2094,65.5,70.61,59,20
1,Melbourne,-37.8136,144.9631,75.18,82.8,42,0
2,Brisbane,-27.4678,153.0281,74.84,85.35,45,20
3,Perth,-31.9522,115.8589,89.02,92.86,20,0
4,Adelaide,-34.9275,138.6,73.83,83.34,32,0
5,Gold Coast,-28.0167,153.4,72.14,85.75,67,40
6,Cranbourne,-38.0996,145.2834,74.82,79.9,46,0
7,Canberra,-35.2931,149.1269,68.18,73.65,43,0
8,Central Coast,-33.3,151.2,61.72,67.95,68,99
9,Wollongong,-34.4331,150.8831,72,72,59,59
10,Hobart,-42.8806,147.325,60.58,63.19,70,75
11,Geelong,-38.15,144.35,69.85,74.07,52,0
12,Townsville,-19.25,146.8167,84.24,84.24,54,100
13,Ipswich,-27.6167,152.7667,74.77,85.28,35,0
14,Newcastle,-32.9167,151.75,64.9,71.56,63,40
15,Cairns,-16.92,145.78,78.75,87.06,91,75
16,Darwin,-12.4381,130.8411,86,87.89,73,75
17,Toowoomba,-27.5667,151.95,73.83,73.83,47,2
18,Launceston,-41.4419,147.145,64.53,70.34,49,100
19,Ballarat,-37.5608,143.8475,77.45,77.45,27,7
20,Bendigo,-36.75,144.2667,79.48,79.48,31,34
21,Bunbury,-33.3272,115.6369,83.66,83.66,33,8
22,Bundaberg,-24.8661,152.3494,81.1,81.1,59,39
23,Wagga Wagga,-35.1189,147.3689,76.55,77.79,26,0
24,Melton,-37.6833,144.5833,70.09,81.54,44,0
25,Hervey Bay,-25.29,152.84,75.16,75.16,60,37
26,Pakenham,-38.0712,145.4878,74.95,82.11,47,0
27,Port Macquarie,-31.4333,152.9,72.82,72.82,58,70
28,Caloundra,-26.7986,153.1289,74.98,76.24,67,57
29,Dubbo,-32.2569,148.6011,77.22,77.22,25,0
30,Orange,-33.2833,149.1,68.65,71.51,43,0
31,Frankston,-38.158,145.135,74.71,79.79,50,0
32,Sunbury,-37.5811,144.7139,74.41,80.26,42,0
33,Bathurst,-33.42,149.5778,70.95,73.81,42,0
34,Gladstone,-23.8427,151.2555,80.58,84.83,47,11
35,Mildura,-34.1889,142.1583,89.06,89.06,24,98
36,Geraldton,-28.7744,114.6089,86.34,86.34,35,94
37,Southport,-27.9667,153.4,72.01,85.75,68,0
38,Shepparton,-36.3833,145.4,78.73,78.73,25,0
39,Kalgoorlie,-30.7489,121.4658,76.86,76.86,41,100
40,Dandenong,-37.981,145.215,74.89,80.38,43,0
41,Warrnambool,-38.3833,142.4833,67.03,67.03,57,81
42,Albany,-35.0228,117.8814,70.2,70.2,62,27
43,Burnie,-41.0636,145.8753,58.89,58.89,74,98
44,Quakers Hill,-33.7344,150.8789,65.91,73.22,46,100
45,Caboolture,-27.0667,152.967,74.89,82.35,44,36
46,Coffs Harbour,-30.3022,153.1189,70.97,71.42,53,40
47,Mount Gambier,-37.8294,140.7828,78.78,78.78,27,100
48,Busselton,-33.6478,115.3458,83.19,83.19,33,58
49,Traralgon,-38.1958,146.5403,73.45,73.45,33,0
50,Vienna,48.2083,16.3725,26.94,31.23,90,100
51,Graz,47.0708,15.4386,26.82,30.88,83,75
52,Linz,48.3,14.2833,24.98,33.17,88,20
53,Salzburg,47.7972,13.0477,26.28,33.35,93,100
54,Innsbruck,47.2683,11.3933,28.51,45.21,100,20
55,Klagenfurt,46.6167,14.3,24.91,38.26,54,75
56,Villach,46.6167,13.8333,24.03,37.4,97,92
57,Wels,48.15,14.0167,26.29,28.31,92,20
58,Sankt Pölten,48.2,15.6167,25.99,30.27,87,100
59,Dornbirn,47.4167,9.75,29.86,48.18,79,100
60,Wiener Neustadt,47.8167,16.25,26.1,30.38,91,100
