city_ID,city,lat,lng,country,airport_name,airport_address,airport_rating
0,Sydney,-33.865,151.2094,Australia,Sydney Airport,Sydney,3.7
1,Melbourne,-37.8136,144.9631,Australia,,,
2,Brisbane,-27.4678,153.0281,Australia,Brisbane Airport,"Airport Dr, Brisbane Airport",4.0
3,Perth,-31.9522,115.8589,Australia,Perth Airport,Perth Airport,3.6
4,Adelaide,-34.9275,138.6,Australia,Adelaide Airport,"Adelaide Airport Terminal, Sir Richard Williams Ave, Adelaide Airport",4.2
5,Gold Coast,-28.0167,153.4,Australia,Gold Coast Airport,"Eastern Ave, Bilinga",3.8
6,Cranbourne,-38.0996,145.2834,Australia,Melbourne Airport,Melbourne Airport,3.8
7,Canberra,-35.2931,149.1269,Australia,Canberra Airport,Terminal Cct,4.1
8,Central Coast,-33.3,151.2,Australia,Lake Macquarie Airport,"864 Pacific Hwy, Marks Point",4.8
9,Wollongong,-34.4331,150.8831,Australia,Shellharbour Airport,"Airport Rd, Albion Park Rail",4.7
10,Hobart,-42.8806,147.325,Australia,Hobart International Airport,"Strachan St, Cambridge",3.9
11,Geelong,-38.15,144.35,Australia,Essendon Fields Airport,"72 Hargrave Ave, Essendon Fields",3.8
12,Townsville,-19.25,146.8167,Australia,,,
13,Ipswich,-27.6167,152.7667,Australia,Brisbane Airport,"Airport Dr, Brisbane Airport",4.0
14,Newcastle,-32.9167,151.75,Australia,Newcastle Airport,"1 Williamtown Dr, Williamtown",4.1
15,Cairns,-16.92,145.78,Australia,Cairns Airport,"Airport Ave, Cairns City",4.0
16,Darwin,-12.4381,130.8411,Australia,Darwin International Airport,"Henry Wrigley Dr, Eaton",3.8
17,Toowoomba,-27.5667,151.95,Australia,,,
18,Launceston,-41.4419,147.145,Australia,George Town Airport,George Town,4.8
19,Ballarat,-37.5608,143.8475,Australia,Ballarat Airport Terminal,"Airport Rd, Mitchell Park",0.0
20,Bendigo,-36.75,144.2667,Australia,Bendigo Airport,"35 Victa Rd, East Bendigo",4.3
21,Bunbury,-33.3272,115.6369,Australia,Busselton Margaret River Airport,"86 Neville Hyder Dr, Yalyalup",4.2
22,Bundaberg,-24.8661,152.3494,Australia,Bundaberg Regional Airport,"Airport Dr, Bundaberg",4.3
23,Wagga Wagga,-35.1189,147.3689,Australia,Wagga Wagga Airport,"Don Kendall Dr, Forest Hill",4.3
24,Melton,-37.6833,144.5833,Australia,Melbourne Airport,Melbourne Airport,3.8
25,Hervey Bay,-25.29,152.84,Australia,Maryborough Airport,Maryborough,3.9
26,Pakenham,-38.0712,145.4878,Australia,Aeropuerto Internacional Comandante Armando Tola de El Calafate,"14 The Link, Mill Park",0.0
27,Port Macquarie,-31.4333,152.9,Australia,,,
28,Caloundra,-26.7986,153.1289,Australia,Sunshine Coast Airport,"Friendship Ave, Marcoola",3.7
29,Dubbo,-32.2569,148.6011,Australia,Dubbo City Regional Airport,"Cooreena Rd, Dubbo",4.5
30,Orange,-33.2833,149.1,Australia,Orange Regional Airport,"136 Aerodrome Road, Orange",4.2
31,Frankston,-38.158,145.135,Australia,Essendon Fields Airport,"72 Hargrave Ave, Essendon Fields",3.8
32,Sunbury,-37.5811,144.7139,Australia,Melbourne Airport,Melbourne Airport,3.8
33,Bathurst,-33.42,149.5778,Australia,Orange Regional Airport,"136 Aerodrome Road, Orange",4.2
34,Gladstone,-23.8427,151.2555,Australia,Gladstone Airport,"31 Aerodrome Rd, Gladstone",4.0
35,Mildura,-34.1889,142.1583,Australia,Wentworth Airfield,"160B Renmark Rd, Wentworth",0.0
36,Geraldton,-28.7744,114.6089,Australia,,,
37,Southport,-27.9667,153.4,Australia,Gold Coast Airport,"Eastern Ave, Bilinga",3.8
38,Shepparton,-36.3833,145.4,Australia,Shepparton Aerodrome,Kialla,4.5
39,Kalgoorlie,-30.7489,121.4658,Australia,Kambalda Airport,Kambalda West,5.0
40,Dandenong,-37.981,145.215,Australia,,,
41,Warrnambool,-38.3833,142.4833,Australia,Warrnambool Airport,"146 Mailors Flat-Koroit Rd, Mailors Flat",4.2
42,Albany,-35.0228,117.8814,Australia,,,
43,Burnie,-41.0636,145.8753,Australia,,,
44,Quakers Hill,-33.7344,150.8789,Australia,Sydney Airport,Sydney,3.7
45,Caboolture,-27.0667,152.967,Australia,Brisbane Airport,"Airport Dr, Brisbane Airport",4.0
46,Coffs Harbour,-30.3022,153.1189,Australia,Coffs Harbour Airport,"Airport Dr, Coffs Harbour",4.2
47,Mount Gambier,-37.8294,140.7828,Australia,,,
48,Busselton,-33.6478,115.3458,Australia,Busselton Margaret River Airport,"86 Neville Hyder Dr, Yalyalup",4.2
49,Traralgon,-38.1958,146.5403,Australia,West Sale Airport,"Princes Hwy, Fulham",4.3
50,Vienna,48.2083,16.3725,Austria,Vienna International Airport,Schwechat,4.1
51,Graz,47.0708,15.4386,Austria,Graz Airport,Feldkirchen bei Graz,4.4
52,Linz,48.3,14.2833,Austria,Linz Airport,"Flughafenstraße 1, Hörsching",4.3
53,Salzburg,47.7972,13.0477,Austria,Salzburg Airport,"Innsbrucker Bundesstraße 95, Salzburg",4.1
54,Innsbruck,47.2683,11.3933,Austria,Innsbruck Airport,"Fürstenweg 180, Innsbruck",4.2
55,Klagenfurt,46.6167,14.3,Austria,Klagenfurt Airport,"Flughafenstraße 60-64, Klagenfurt am Wörthersee",4.1
56,Villach,46.6167,13.8333,Austria,Klagenfurt Airport,"Flughafenstraße 60-64, Klagenfurt am Wörthersee",4.1
57,Wels,48.15,14.0167,Austria,Linz Airport,"Flughafenstraße 1, Hörsching",4.3
