city_ID,city,lat,lng,country,beach_name,beach_address,beach_rating
0,Sydney,-33.865,151.2094,Australia,Barrenjoey Lighthouse,"1199D Barrenjoey Rd, Palm Beach",4.7
1,Melbourne,-37.8136,144.9631,Australia,Brighton Bathing Boxes,"Esplanade, Brighton",4.4
2,Brisbane,-27.4678,153.0281,Australia,Streets Beach,"Stanley St Plaza, South Brisbane",4.7
3,Perth,-31.9522,115.8589,Australia,Parsa the Beach,Scarborough,0.0
4,Adelaide,-34.9275,138.6,Australia,Moana Beach,"404 Esplanade, Moana",4.7
5,Gold Coast,-28.0167,153.4,Australia,Snapper Rocks,"Snapper Rocks Rd, Coolangatta",4.8
6,Cranbourne,-38.0996,145.2834,Australia,Koonya Ocean Beach,"93 Hughes Rd, Blairgowrie",4.6
7,Canberra,-35.2931,149.1269,Australia,Casuarina Sands Reserve,Stromlo,4.6
8,Central Coast,-33.3,151.2,Australia,Barrenjoey Lighthouse,"1199D Barrenjoey Rd, Palm Beach",4.7
9,Wollongong,-34.4331,150.8831,Australia,Little Garie Beach,Lilyvale,4.6
10,Hobart,-42.8806,147.325,Australia,Fort Beach,"201 Blessington St, South Arm",0.0
11,Geelong,-38.15,144.35,Australia,Koonya Ocean Beach,"93 Hughes Rd, Blairgowrie",4.6
12,Townsville,-19.25,146.8167,Australia,Secret beach,"Benwell Rd, South Townsville",4.5
13,Ipswich,-27.6167,152.7667,Australia,Streets Beach,"Stanley St Plaza, South Brisbane",4.7
14,Newcastle,-32.9167,151.75,Australia,Fingal beach,"68B Marine Dr, Fingal Bay",4.8
15,Cairns,-16.92,145.78,Australia,Palm Cove Beach,"111 Williams Esplanade, Palm Cove",4.6
16,Darwin,-12.4381,130.8411,Australia,Nightcliff Beach,"244 Casuarina Dr, Nightcliff",4.7
17,Toowoomba,-27.5667,151.95,Australia,Crows Nest National Park,"Three Mile Rd, Crows Nest",4.4
18,Launceston,-41.4419,147.145,Australia,Murphy's Beach,"Murphy's Beach, Bridport",0.0
19,Ballarat,-37.5608,143.8475,Australia,Werribee Gorge State Park,"204 Myers Rd, Pentland Hills",4.7
20,Bendigo,-36.75,144.2667,Australia,Crusoe Reservoir,"Crusoe Rd, Kangaroo Flat",4.4
21,Bunbury,-33.3272,115.6369,Australia,Koombana Beach,Bunbury,4.5
22,Bundaberg,-24.8661,152.3494,Australia,Dundowran Beach,"Brennan Park, Sawmill Rd, Dundowran Beach",0.0
23,Wagga Wagga,-35.1189,147.3689,Australia,Wagga Beach,"Cabarita Park, Johnston St, Wagga Wagga",4.3
24,Melton,-37.6833,144.5833,Australia,Brighton Bathing Boxes,"Esplanade, Brighton",4.4
25,Hervey Bay,-25.29,152.84,Australia,Dundowran Beach,"Brennan Park, Sawmill Rd, Dundowran Beach",0.0
26,Pakenham,-38.0712,145.4878,Australia,Brighton Bathing Boxes,"Esplanade, Brighton",4.4
27,Port Macquarie,-31.4333,152.9,Australia,Port Macquarie coastal walk,"HWC4+JP, Port Macquarie",4.5
28,Caloundra,-26.7986,153.1289,Australia,Kawana Beach,Queensland,4.7
29,Dubbo,-32.2569,148.6011,Australia,Taronga Western Plains Zoo,"Obley Rd, Dubbo",4.6
30,Orange,-33.2833,149.1,Australia,Cook Park,"Summer St, Orange",4.6
31,Frankston,-38.158,145.135,Australia,Koonya Ocean Beach,"93 Hughes Rd, Blairgowrie",4.6
32,Sunbury,-37.5811,144.7139,Australia,Brighton Bathing Boxes,"Esplanade, Brighton",4.4
33,Bathurst,-33.42,149.5778,Australia,Cook Park,"Summer St, Orange",4.6
34,Gladstone,-23.8427,151.2555,Australia,Beach,Callemondah,0.0
35,Mildura,-34.1889,142.1583,Australia,Red Cliffs Lookout,Red Cliffs,3.8
36,Geraldton,-28.7744,114.6089,Australia,Greenough river beach,Cape Burney,4.6
37,Southport,-27.9667,153.4,Australia,Snapper Rocks,"Snapper Rocks Rd, Coolangatta",4.8
38,Shepparton,-36.3833,145.4,Australia,,,
39,Kalgoorlie,-30.7489,121.4658,Australia,,,
40,Dandenong,-37.981,145.215,Australia,Koonya Ocean Beach,"93 Hughes Rd, Blairgowrie",4.6
41,Warrnambool,-38.3833,142.4833,Australia,Granny's Grave Beach,Warrnambool,4.5
