overall_rank,country,score,generosity,perceptions_of_corruption
1,Finland,7.769,0.153,0.39299999999999996
2,Denmark,7.6,0.252,0.41
3,Norway,7.553999999999999,0.271,0.341
4,Iceland,7.494,0.354,0.11800000000000001
5,Netherlands,7.4879999999999995,0.322,0.298
6,Switzerland,7.48,0.263,0.34299999999999997
7,Sweden,7.343,0.267,0.373
8,New Zealand,7.307,0.33,0.38
9,Canada,7.278,0.285,0.308
10,Austria,7.246,0.244,0.226
11,Australia,7.228,0.332,0.29
12,Costa Rica,7.167000000000001,0.14400000000000002,0.09300000000000001
13,Israel,7.138999999999999,0.261,0.08199999999999999
14,Luxembourg,7.09,0.19399999999999998,0.316
15,United Kingdom,7.053999999999999,0.348,0.278
16,Ireland,7.021,0.298,0.31
17,Germany,6.985,0.261,0.265
18,Belgium,6.922999999999999,0.16,0.21
19,United States,6.892,0.28,0.128
20,Czech Republic,6.852,0.046,0.036000000000000004
21,United Arab Emirates,6.825,0.262,0.182
22,Malta,6.726,0.375,0.151
23,Mexico,6.595,0.07400000000000001,0.073
24,France,6.5920000000000005,0.111,0.183
25,Taiwan,6.446000000000001,0.242,0.09699999999999999
26,Chile,6.444,0.187,0.055999999999999994
27,Guatemala,6.436,0.175,0.078
28,Saudi Arabia,6.375,0.08,0.132
29,Qatar,6.374,0.22,0.16699999999999998
30,Spain,6.354,0.153,0.079
31,Panama,6.321000000000001,0.109,0.054000000000000006
32,Brazil,6.3,0.099,0.086
33,Uruguay,6.292999999999999,0.127,0.15
34,Singapore,6.2620000000000005,0.271,0.45299999999999996
35,El Salvador,6.252999999999999,0.09300000000000001,0.07400000000000001
36,Italy,6.223,0.158,0.03
37,Bahrain,6.199,0.255,0.11
38,Slovakia,6.1979999999999995,0.121,0.013999999999999999
39,Trinidad & Tobago,6.192,0.185,0.016
40,Poland,6.182,0.11699999999999999,0.05
